Question,Options,Correct Answer
Match the following terms to the most appropriate description.,Embedded System -> Not necessarily connected | Pervasive/Ubiquitous Computing -> Focus on anytime/anywhere computing | Cyber-Physical Systems -> Focus on Interaction between Physical and Cyber | Real-time Systems -> Focus on time constraints,Embedded System -> Not necessarily connected
Which of the following is NOT a component in an IoT device,Power Supply,Power Supply
Physical Devices & Controller,Middleware,Middleware
"The various factors (range, power, data rate, scalability, security and",False,False
Which of the following supports the longest range?,LoRa,LoRa
Which choice represents the ultimate aim for IoT.,To reduce network bandwidth | To collect as much data as possible | To connect as many ‘things’ together | To transform raw data into insights,To reduce network bandwidth
IoT refers to ... (select the best answer),"Exchange of data between devices in a network | An ecosystem of devices, accessible through internet | Interconnections of devices in a network | All of them.",Exchange of data between devices in a network
Devices in IoT support ... (select the best answer),Actuating | Sensing | Data Collection | All of them.,Actuating
Which of the following technologies uses 2.4Ghz frequency?,WiFi | 2G/3G | SigFox | Wireless HART | ZigBee | LoRa | Bluetooth/BLE | Weightless | NB-IoT | Z-Wave,WiFi
"Assume that you are a network operator, and you are allocated a frequency spectrum of",50 | 60 | 40 | 70,50
Consider the following two statements and select the appropriate option below:,"Both Statements are false. | Statement A is true, but Statement B is false. | Statements A and B are true. Statement B is the perfect explanation for | Statement B is true, but Statement A is false. | Statements A and B are true. Statement B and Statement A are independent of",Both Statements are false.
Why is NIDD particularly suitable for NB-IoT?,"It eliminates IP overhead, optimizing for small data packets | It uses a broadcast communication model | It allows direct device-to-device communication | It supports high-bandwidth applications","It eliminates IP overhead, optimizing for small data packets"
Which of the following IoT applications is best suited for NB-IoT? Choose the best one.,High-speed asset tracking | Real-time video streaming | Wearable fitness trackers | Smart metering in rural areas,High-speed asset tracking
Which of the following organizations is responsible for the development of NB-IoT standards?,IETF | Wi-Fi Alliance | IEEE | 3GPP,IETF
Consider the following two statements and select the appropriate option below:,"Both Statements are false. | Statements A and B are true. Statement B is the perfect explanation for | Statement A is true, but Statement B is false. | Statements A and B are true. Statement B and Statement A are independent of | Statement B is true, but Statement A is false.",Both Statements are false.
Consider the following two statements and select the appropriate option below:,"Both Statements are false. | Statement A is true, but Statement B is false. | Statements A and B are true. | Statement B is true, but Statement A is false.",Both Statements are false.
"Assume that you are a network operator, and you chose to implement TDMA as the multiple",500kHz | 400kHz | 4000kHz | 4100kHz,500kHz
Assume that the subcarrier band size has been increased from 15kHz to 25kHz. Using this,300kHz | 375kHz | 500kHz | 250kHz,300kHz
Which network element is responsible for interfacing NIDD with IoT application servers in,EPC | S-GW | MME | SCEF,EPC
A network manager chose to use QPSK (Quadrature Phase Shift Keying) as the modulation,None of the above | Two bits | Only one bit | All of the above | Three bits,None of the above
Which factors determine the bit rate of a communication system?,The type of modulation and the size of the communication channel | The modulation scheme and the symbol rate | The noise level and the power of the transmitted signal | The carrier frequency and the signal bandwidth,The type of modulation and the size of the communication channel
NB-IoT is introduced in which of the following standards?,LTE – NB Advanced | LTE – Advanced Pro | LTE | LTE – Advanced,LTE – NB Advanced
Which of the following is NOT a mode of operations for NB-IoT?,Out-Band | Stand Alone | Guard band | In-Band,Out-Band
"Which of the following codes, used in CDMA, are considered orthogonal codes?","All of the above | <0,0,1,1> and <1,0,1,0> | <0,1,0,1> and <1,0,0,1> | <0,1,0,1> and <1,0,1,0>",All of the above
Which of the following features of NB-IoT reduces power consumption by allowing devices,NIDD | PSM | VoLTE | eDRX,NIDD
Why is HTTP not always suitable for IoT devices?,It is not an IP-based protocol | It is incompatible with IoT hardware | It lacks support for small data transfers | It has high overhead and power consumption,It is not an IP-based protocol
