Chapter,Question_No,Question,Options,Correct Answer
Chapter 1 - Intro to Comp,1,Match the following terms to the most appropriate description.,Embedded System -> Not necessarily connected|Pervasive/Ubiquitous Computing -> Focus on anytime/anywhere computing|Cyber-Physical Systems -> Focus on Interaction between Physical and Cyber systems|Real-time Systems -> Focus on time constraints,Embedded System -> Not necessarily connected;;Pervasive/Ubiquitous Computing -> Focus on anytime/anywhere computing;;Cyber-Physical Systems -> Focus on Interaction between Physical and Cyber systems;;Real-time Systems -> Focus on time constraints
Chapter 1 - Intro to Comp,2,Which of the following is NOT a component in an IoT device,Power Supply,Power Supply
Chapter 1 - Intro to Comp,4,Which of the following allows a bunch of heterogeneous systems to communicate and interact with each other?,Middleware,Middleware
Chapter 1 - Intro to Comp,5,"The various factors (range, power, data rate, scalability, security and cost) have the same level of importance in any IoT solution.",FALSE,FALSE
Chapter 1 - Intro to Comp,6,Which of the following supports the longest range?,LoRa,LoRa
Chapter 1 - Intro to Comp,7,Which choice represents the ultimate aim for IoT.,To reduce network bandwidth|To collect as much data as possible|To connect as many ‘things’ together|To transform raw data into insights,To transform raw data into insights
Chapter 1 - Intro to Comp,8,IoT refers to ... (select the best answer),"Exchange of data between devices in a network|An ecosystem of devices, accessible through internet|Interconnections of devices in a network|All of them.",All of them.
Chapter 1 - Intro to Comp,9,Devices in IoT support ... (select the best answer),Actuating|Sensing|Data Collection|All of them.,All of them.
Chapter 1 - Intro to Comp,10,Which of the following technologies uses 2.4Ghz frequency?,WiFi|2G/3G|SigFox|Wireless HART|ZigBee|LoRa|Bluetooth/BLE|Weightless|NB-IoT|Z-Wave|Chapter 2 - Narrow Band IOT,WiFi;;Wireless HART;;ZigBee;;LoRa;;Bluetooth/BLE
Chapter 2 - Narrow Band IOT,1,"Assume that you are a network operator, and you are allocated a frequency spectrum of bandwidth equal to 1000kHz for carrying out 4G cellular operation. How many subcarriers (maximum) can you support given the above bandwidth. Assume that the bandwidth of the guard band on each side of the spectrum must be equal to 50kHz.",50|60|40|70,60
Chapter 2 - Narrow Band IOT,2,"Consider the following two statements and select the appropriate option below: Statement A: Any mobile connected to a 4G network can move while retaining an active connection. Statement B: As NB-IoT devices rely on coverage provided by 4G, they can also move while maintaining an active connection.","Both Statements are false.|Statement A is true, but Statement B is false.|Statements A and B are true. Statement B is the perfect explanation for Statement A.|Statement B is true, but Statement A is false.|Statements A and B are true. Statement B and Statement A are independent of each other.","Statement A is true, but Statement B is false."
Chapter 2 - Narrow Band IOT,3,Why is NIDD particularly suitable for NB-IoT?,"It eliminates IP overhead, optimizing for small data packets|It uses a broadcast communication model|It allows direct device-to-device communication|It supports high-bandwidth applications","It eliminates IP overhead, optimizing for small data packets"
Chapter 2 - Narrow Band IOT,4,Which of the following IoT applications is best suited for NB-IoT? Choose the best one.,High-speed asset tracking|Real-time video streaming|Wearable fitness trackers|Smart metering in rural areas,Smart metering in rural areas
Chapter 2 - Narrow Band IOT,5,Which of the following organizations is responsible for the development of NB-IoT standards?,IETF|Wi-Fi Alliance|IEEE|3GPP,3GPP
Chapter 2 - Narrow Band IOT,6,"Consider the following two statements and select the appropriate option below: Statement A: NB-IoT devices are not suitable for indoor placement due to insufficient coverage, making it challenging to support devices located inside buildings. Statement B: NB-IoT devices rely on coverage provided by LTE and 5G-NR cellular technologies.","Both Statements are false.|Statements A and B are true. Statement B is the perfect explanation for Statement A.|Statement A is true, but Statement B is false.|Statements A and B are true. Statement B and Statement A are independent of each other.|Statement B is true, but Statement A is false.","Statement B is true, but Statement A is false."
